song,condition,task,ioi
Because_Of_You,Mod,SART,1145.038168
Thinking_Aloud,Mod,SART,1052.631579
Versace_On_The_Floor,Mod,SART,1237.113402
Just_Give_Me_A_Reason,Unmod,SART,1027.39726
Wrecking_Ball,Unmod,SART,1102.941176
Need_You_Now,Unmod,SART,1153.846154
Hey_There_Delilah,Mod,NBACK,1285.714286
Beautiful,Mod,NBACK,1139.240506
I_Will_Always_Love_You,Mod,NBACK,1034.482759
I_Have_Nothing,Unmod,NBACK,1105.263158
I_Will_Follow_You_Into_The_Dark,Unmod,NBACK,1000
Eye_of_the_Tiger,Unmod,NBACK,972.222222
